Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
The Obsidian Black Ringer Tee,the-obsidian-black-ringer-tee,Premium quality cotton ringer tee featuring contrast collar and sleeve bands. Model: The Obsidian Black Ringer Tee.,Obsidian,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Ringer Tee,"Ringer Tee, T-Shirt, Cotton, Black White, Drop 1",True,Active,SKU-00B-S,SKU-00B-BLACK-C:WHITE-S,Size,S,,Color,Black / White,,,,,700.0,,,True,,,,,,shopify,3,DENY,250.0,g,True,manual,,,,,,,,,,,,,,,,,,,,,
,the-obsidian-black-ringer-tee,,,,,,,,SKU-00B-M,SKU-00B-BLACK-C:WHITE-M,,M,,,Black / White,,,,,700.0,,,True,,,,,,shopify,2,DENY,250.0,g,True,manual,,,,,,,,,,,,,,,,,,,,,
,the-obsidian-black-ringer-tee,,,,,,,,SKU-00B-L,SKU-00B-BLACK-C:WHITE-L,,L,,,Black / White,,,,,700.0,,,True,,,,,,shopify,3,DENY,250.0,g,True,manual,,,,,,,,,,,,,,,,,,,,,
,the-obsidian-black-ringer-tee,,,,,,,,SKU-00B-XL,SKU-00B-BLACK-C:WHITE-XL,,XL,,,Black / White,,,,,700.0,,,True,,,,,,shopify,2,DENY,250.0,g,True,manual,,,,,,,,,,,,,,,,,,,,,
Ringer Tee Olive x White,ringer-tee-olive-white,Premium quality cotton ringer tee featuring contrast collar and sleeve bands. Model: Ringer Tee Olive x White.,Obsidian,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Ringer Tee,"Ringer Tee, T-Shirt, Cotton, Olive White, Drop 1",True,Active,SKU-00G-S,SKU-00G-OLIVE-C:WHITE-S,Size,S,,Color,Olive / White,,,,,700.0,,,True,,,,,,shopify,2,DENY,250.0,g,True,manual,,,,,,,,,,,,,,,,,,,,,
,ringer-tee-olive-white,,,,,,,,SKU-00G-M,SKU-00G-OLIVE-C:WHITE-M,,M,,,Olive / White,,,,,700.0,,,True,,,,,,shopify,1,DENY,250.0,g,True,manual,,,,,,,,,,,,,,,,,,,,,
,ringer-tee-olive-white,,,,,,,,SKU-00G-L,SKU-00G-OLIVE-C:WHITE-L,,L,,,Olive / White,,,,,700.0,,,True,,,,,,shopify,1,DENY,250.0,g,True,manual,,,,,,,,,,,,,,,,,,,,,
,ringer-tee-olive-white,,,,,,,,SKU-00G-XL,SKU-00G-OLIVE-C:WHITE-XL,,XL,,,Olive / White,,,,,700.0,,,True,,,,,,shopify,2,DENY,250.0,g,True,manual,,,,,,,,,,,,,,,,,,,,,
Ringer Tee Creamy x Burgundy,ringer-tee-creamy-burgundy,Premium quality cotton ringer tee featuring contrast collar and sleeve bands. Model: Ringer Tee Creamy x Burgundy.,Obsidian,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Ringer Tee,"Ringer Tee, T-Shirt, Cotton, Creamy Burgundy, Drop 1",True,Active,SKU-0CB-S,SKU-0CB-CREAMY-C:BURGUNDY-S,Size,S,,Color,Creamy / Burgundy,,,,,700.0,,,True,,,,,,shopify,1,DENY,250.0,g,True,manual,,,,,,,,,,,,,,,,,,,,,
,ringer-tee-creamy-burgundy,,,,,,,,SKU-0CB-M,SKU-0CB-CREAMY-C:BURGUNDY-M,,M,,,Creamy / Burgundy,,,,,700.0,,,True,,,,,,shopify,1,DENY,250.0,g,True,manual,,,,,,,,,,,,,,,,,,,,,
